COG20_FUNCTION,enrichment_score,unadjusted_p_value,adjusted_q_value,associated_groups,accession,gene_clusters_ids,p_Other,p_Sourdough,N_Other,N_Sourdough
"Aldo/keto reductase, related to diketogulonate reductase (ARA1) (PDB:1Q13)",0.919855623,0.337512884,0.690367262,Sourdough,COG0656,"GC_00000672, GC_00001906, GC_00002267, GC_00003382",0.9688,1,32,29
Isopentenyldiphosphate isomerase (Idi) (PDB:1NFS),0.919855623,0.337512884,0.690367262,Sourdough,COG1443,GC_00000877,0.9688,1,32,29
Twin-arginine protein secretion pathway components TatA and TatB (TatA) (PDB:2L16),0.919855623,0.337512884,0.690367262,Sourdough,COG1826,"GC_00001438, GC_00001563, GC_00003850, GC_00004026, GC_00008567, GC_00008715, GC_00010349, GC_00011351",0.9688,1,32,29
Uncharacterized conserved protein AsmA involved in outer membrane biogenesis (AsmA),0.919855623,0.337512884,0.690367262,Sourdough,COG2982,"GC_00001626, GC_00001719, GC_00002307, GC_00003142, GC_00004405, GC_00004493, GC_00004601, GC_00004605, GC_00006402, GC_00011077",0.9688,1,32,29
Glycerol-3-phosphate dehydrogenase (GlpA) (PDB:2RGH),0.919855623,0.337512884,0.690367262,Sourdough,COG0578,"GC_00000942, GC_00005356",0.9688,1,32,29
"Peptidoglycan lytic transglycosylase RlpA, contains C-terminal SPOR domain (RlpA) (PDB:4AVR) (PUBMED:24806796)",0.919855623,0.337512884,0.690367262,Sourdough,COG0797,"GC_00001371, GC_00001459, GC_00003922, GC_00004205, GC_00006087, GC_00006306",0.9688,1,32,29
FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor) (Tig) (PDB:5OWI),0.919855623,0.337512884,0.690367262,Sourdough,COG0544,GC_00000834,0.9688,1,32,29
Ubiquinone biosynthesis accessory factor UbiK (UbiK) (PUBMED:28559279),0.919855623,0.337512884,0.690367262,Sourdough,COG2960,GC_00000782,0.9688,1,32,29
"Predicted oligopeptide transporter, OPT family (OPT)",0.919855623,0.337512884,0.690367262,Sourdough,COG1297,GC_00000591,0.9688,1,32,29
Autotransporter translocation and assembly protein TamB (TamB) (PDB:5VTG),0.919855623,0.337512884,0.690367262,Sourdough,COG2911,"GC_00001437, GC_00004709, GC_00006393, GC_00008277",0.9688,1,32,29
"Proline 4-hydroxylase (includes Rps23 Pro-64 3,4-dihydroxylase Tpa1), contains SM-20 domain (EGL9) (PDB:2G19)",0.919855623,0.337512884,0.690367262,Sourdough,COG3751,"GC_00000874, GC_00011054, GC_00011434",0.9688,1,32,29
TPR repeat (TPR) (PDB:1KLX),0.919855623,0.337512884,0.690367262,Sourdough,COG0790,"GC_00001032, GC_00001754, GC_00002634, GC_00003566, GC_00003932, GC_00004907, GC_00006711, GC_00007027, GC_00007342, GC_00007755, GC_00011455",0.9688,1,32,29
Ribosomal protein L28 (RpmB) (PDB:2JZ6),0.919855623,0.337512884,0.690367262,Sourdough,COG0227,GC_00000752,0.9688,1,32,29
Cell division protein FtsX (FtsX),0.919855623,0.337512884,0.690367262,Sourdough,COG2177,"GC_00001470, GC_00003895, GC_00006254",0.9688,1,32,29
Glutaredoxin-related protein (GrxD) (PDB:1YKA),0.919855623,0.337512884,0.690367262,Sourdough,COG0278,GC_00000772,0.9688,1,32,29
Metal-sulfur cluster biosynthetic enzyme (PaaD) (PDB:1UWD),0.919855623,0.337512884,0.690367262,Sourdough,COG2151,"GC_00000820, GC_00008171",0.9688,1,32,29
TPR-like repeat domain (TPR1),0.919855623,0.337512884,0.690367262,Sourdough,COG4649,"GC_00001469, GC_00003913, GC_00006204",0.9688,1,32,29
Intermembrane transporter PqiABC lipoprotein subunit PqiC (PqiC) (PDB:6OSX) (PUBMED:27795327),0.919855623,0.337512884,0.690367262,Sourdough,COG3009,"GC_00001535, GC_00001584, GC_00004023, GC_00004284, GC_00006345, GC_00009890, GC_00010210",0.9688,1,32,29
"Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)",0.919855623,0.337512884,0.690367262,Sourdough,COG2114,"GC_00001455, GC_00004302, GC_00005907",0.9688,1,32,29
"ABC-type transport system involved in lipoprotein release, permease component LolC (LolE) (PDB:6F49)",0.919855623,0.337512884,0.690367262,Sourdough,COG4591,"GC_00000762, GC_00009923",0.9688,1,32,29
Phosphate/sulfate permease (PitA) (PUBMED:31358606),0.919855623,0.337512884,0.690367262,Sourdough,COG0306,"GC_00000077, GC_00001705",0.9688,1,32,29
"Ni,Fe-hydrogenase III small subunit (HycG) (PDB:6CFW)",0.919855623,0.337512884,0.690367262,Sourdough,COG3260,"GC_00001211, GC_00003951",0.9688,1,32,29
"Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)",0.919855623,0.337512884,0.690367262,Sourdough,COG0589,"GC_00001190, GC_00001908, GC_00003806, GC_00004509, GC_00004649, GC_00005326, GC_00007350, GC_00011598",0.9688,1,32,29
"Phosphoglycolate phosphatase, HAD superfamily (Gph) (PDB:2NYV)",0.919855623,0.337512884,0.690367262,Sourdough,COG0546,"GC_00001561, GC_00004529, GC_00005291, GC_00005611, GC_00005812, GC_00009372, GC_00010763",0.9688,1,32,29
Ribosomal protein S16 (RpsP) (PDB:4V4H),0.919855623,0.337512884,0.690367262,Sourdough,COG0228,GC_00000785,0.9688,1,32,29
Predicted transcriptional regulator (PDB:2JSP),0.919855623,0.337512884,0.690367262,Sourdough,COG4957,"GC_00000057, GC_00002087, GC_00003758, GC_00007289, GC_00009537, GC_00011508",0.9688,1,32,29
Phosphohistidine phosphatase SixA (SixA) (PDB:1UJB),0.919855623,0.337512884,0.690367262,Sourdough,COG2062,"GC_00001480, GC_00004009, GC_00006490",0.9688,1,32,29
"ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme (YbeY) (PDB:1XM5) (PUBMED:17407324;23543739)",0.919855623,0.337512884,0.690367262,Sourdough,COG0319,"GC_00001452, GC_00003730, GC_00007290, GC_00008757",0.9688,1,32,29
tRNA(Ile)-lysidine synthase TilS/MesJ (TilS) (PDB:1NI5) (PUBMED:21435031),0.919855623,0.337512884,0.690367262,Sourdough,COG0037,"GC_00001512, GC_00004017, GC_00007936, GC_00009744",0.9688,1,32,29
Mannitol-1-phosphate/altronate dehydrogenases (MtlD) (PDB:1LJ8),0.919855623,0.337512884,0.690367262,Sourdough,COG0246,"GC_00001153, GC_00002302, GC_00005770",0.9688,1,32,29
RecG-like helicase (RecG) (PDB:1GM5),0.919855623,0.337512884,0.690367262,Sourdough,COG1200,"GC_00001034, GC_00004926",0.9688,1,32,29
Protein required for attachment to host cells,0.919855623,0.337512884,0.690367262,Sourdough,COG5622,"GC_00001316, GC_00003720, GC_00010029",0.9688,1,32,29
Chorismate mutase (PheA) (PDB:1ECM),0.919855623,0.337512884,0.690367262,Sourdough,COG1605,GC_00000818,0.9688,1,32,29
Glycine/serine hydroxymethyltransferase (GlyA) (PDB:1BJ4),0.919855623,0.337512884,0.690367262,Sourdough,COG0112,GC_00000065,0.9688,1,32,29
"NYN domain, predicted PIN-related RNAse, tRNA/rRNA maturation (LabA) (PDB:2QIP)",0.919855623,0.337512884,0.690367262,Sourdough,COG1432,GC_00000371,0.9688,1,32,29
tRNA1(Val) A37 N6-methylase TrmN6 (TrmN6),0.919855623,0.337512884,0.690367262,Sourdough,COG4123,"GC_00001484, GC_00004523, GC_00006998, GC_00007156, GC_00007703, GC_00011167",0.9688,1,32,29
"Uncharacterized conserved protein, DUF58 family, contains vWF domain (YeaD2)",0.919855623,0.337512884,0.690367262,Sourdough,COG1721,"GC_00002522, GC_00002619, GC_00003407, GC_00004098, GC_00007719, GC_00009347, GC_00009436",0.9688,1,32,29
Homoaconitase/3-isopropylmalate dehydratase large subunit (LeuC) (PDB:4KP1),0.919855623,0.337512884,0.690367262,Sourdough,COG0065,GC_00000521,0.9688,1,32,29
"Delta-aminolevulinic acid dehydratase, porphobilinogen synthase (HemB) (PDB:1I8J)",0.919855623,0.337512884,0.690367262,Sourdough,COG0113,GC_00000783,0.9688,1,32,29
"Uncharacterized membrane protein YgdD, TMEM256/DUF423 family (YgdD)",0.919855623,0.337512884,0.690367262,Sourdough,COG2363,"GC_00001413, GC_00004053, GC_00007161",0.9688,1,32,29
"Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)",0.919855623,0.337512884,0.690367262,Sourdough,COG0388,"GC_00001551, GC_00002178, GC_00002314, GC_00003477, GC_00004963, GC_00005373, GC_00006468, GC_00007130, GC_00008570",0.9688,1,32,29
Pentose-5-phosphate-3-epimerase (Rpe) (PDB:1H1Y),0.919855623,0.337512884,0.690367262,Sourdough,COG0036,GC_00000814,0.9688,1,32,29
tRNA G37 N-methylase TrmD (TrmD) (PDB:1P9P),0.919855623,0.337512884,0.690367262,Sourdough,COG0336,GC_00000837,0.9688,1,32,29
"Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains (GlmS) (PDB:2J6H)",0.919855623,0.337512884,0.690367262,Sourdough,COG0449,GC_00000868,0.9688,1,32,29
"NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain (Nnr1) (PDB:3RRB)!!!NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain (Nnr2) (PDB:1KYH)",0.919855623,0.337512884,0.690367262,Sourdough,COG0062!!!COG0063,GC_00000743,0.9688,1,32,29
Cell division septal protein FtsQ (FtsQ) (PDB:1YR1),0.919855623,0.337512884,0.690367262,Sourdough,COG1589,"GC_00001516, GC_00004198, GC_00006327",0.9688,1,32,29
Prolyl-tRNA synthetase (ProS) (PDB:5XIF),0.919855623,0.337512884,0.690367262,Sourdough,COG0442,GC_00000842,0.9688,1,32,29
Divalent metal cation (Fe/Co/Zn/Cd) efflux pump (FieF) (PDB:2QFI),0.919855623,0.337512884,0.690367262,Sourdough,COG0053,"GC_00000091, GC_00004109",0.9688,1,32,29
"Anthranilate phosphoribosyltransferase, glycosyltransferase domain (TrpD) (PDB:1KGZ)",0.919855623,0.337512884,0.690367262,Sourdough,COG0547,"GC_00001238, GC_00004209",0.9688,1,32,29
"Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)",0.919855623,0.337512884,0.690367262,Sourdough,COG1670,"GC_00000824, GC_00002033, GC_00002842, GC_00004395, GC_00004396, GC_00005068, GC_00005406, GC_00010976, GC_00011448",0.9688,1,32,29
"Cell division protein CpoB, coordinates peptidoglycan biosynthesis and outer membrane constriction (CpoB) (PDB:2WZ7) (PUBMED:25951518)",0.919855623,0.337512884,0.690367262,Sourdough,COG1729,"GC_00001392, GC_00004490, GC_00007771",0.9688,1,32,29
Phytoene/squalene synthetase (ERG9) (PDB:3WEK),0.919855623,0.337512884,0.690367262,Sourdough,COG1562,"GC_00000918, GC_00000930, GC_00001625, GC_00007107, GC_00010094",0.9688,1,32,29
Phosphoenolpyruvate carboxylase (Ppc) (PDB:1FIY),0.919855623,0.337512884,0.690367262,Sourdough,COG2352,"GC_00001158, GC_00004287",0.9688,1,32,29
"Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family (ElyC) (PDB:3CA8) (PUBMED:24391520)",0.919855623,0.337512884,0.690367262,Sourdough,COG1434,"GC_00001489, GC_00002511, GC_00003023, GC_00003353, GC_00003390, GC_00003962, GC_00006318, GC_00006329, GC_00007807, GC_00008385, GC_00010586",0.9688,1,32,29
Signal recognition particle GTPase (Ffh) (PDB:2V3C),0.919855623,0.337512884,0.690367262,Sourdough,COG0541,GC_00000794,0.9688,1,32,29
Ribosomal protein L19 (RplS) (PDB:1VS6) (PUBMED:27941785),0.919855623,0.337512884,0.690367262,Sourdough,COG0335,GC_00000799,0.9688,1,32,29
"Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC (TctC) (PDB:2DVZ)",0.919855623,0.337512884,0.690367262,Sourdough,COG3181,"GC_00002022, GC_00004202, GC_00004438, GC_00005303, GC_00007323, GC_00007859, GC_00009629, GC_00010780",0.9688,1,32,29
"3-deoxy-D-manno-octulosonic-acid transferase (KdtA) (PDB:2XCI)!!!Uncharacterized conserved protein, lysophospholipid acyltransferase (LPLAT) superfamily",0.919855623,0.337512884,0.690367262,Sourdough,COG1519!!!COG2121,"GC_00001565, GC_00004039, GC_00008208, GC_00008840, GC_00010197",0.9688,1,32,29
Quinol monooxygenase YgiN (YgiN) (PDB:1R6Y) (PUBMED:15613473),0.919855623,0.337512884,0.690367262,Sourdough,COG1359,"GC_00001201, GC_00003521, GC_00003860, GC_00003912, GC_00005988, GC_00007355, GC_00007756, GC_00010472",0.9688,1,32,29
Predicted metalloendopeptidase (PepO) (PDB:1DMT),0.919855623,0.337512884,0.690367262,Sourdough,COG3590,GC_00000888,0.9688,1,32,29
CDP-diglyceride synthetase (CdsA) (PDB:4Q2E),0.919855623,0.337512884,0.690367262,Sourdough,COG0575,"GC_00001421, GC_00004389, GC_00006961",0.9688,1,32,29
Predicted 2-oxoglutarate- and Fe(II)-dependent dioxygenase YbiX (PiuC) (PDB:3DKQ),0.919855623,0.337512884,0.690367262,Sourdough,COG3128,"GC_00000052, GC_00003005",0.9688,1,32,29
N-formylglutamate amidohydrolase (HutG),0.919855623,0.337512884,0.690367262,Sourdough,COG3741,"GC_00001569, GC_00002667, GC_00004019, GC_00008314, GC_00010435",0.9688,1,32,29
"Ribosomal protein L7Ae or related RNA K-turn-binding protein (Rpl7Ae) (PDB:4LCK)!!!Nucleoid-associated protein YlxR, Predicted RNA-binding, DUF448 family (YlxR) (PDB:1G2R) (PUBMED:11679764;31118925)",0.919855623,0.337512884,0.690367262,Sourdough,COG1358!!!COG2740,"GC_00001265, GC_00003450",0.9688,1,32,29
Polyprenyltransferase (heme O synthase) (CyoE),0.919855623,0.337512884,0.690367262,Sourdough,COG0109,GC_00000869,0.9688,1,32,29
"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain (PurL2) (PDB:1T3T)",0.919855623,0.337512884,0.690367262,Sourdough,COG0047,GC_00000828,0.9688,1,32,29
Threonine synthase (ThrC) (PDB:1VB3),0.919855623,0.337512884,0.690367262,Sourdough,COG0498,GC_00000830,0.9688,1,32,29
Protein tyrosine/serine phosphatase Oca4 (Oca4) (PDB:1XRI),0.919855623,0.337512884,0.690367262,Sourdough,COG2365,GC_00000784,0.9688,1,32,29
Septum site-determining protein MinC (MinC) (PDB:1HF2),0.919855623,0.337512884,0.690367262,Sourdough,COG0850,GC_00000872,0.9688,1,32,29
"Translation elongation factor EF-G, a GTPase (FusA) (PDB:1DAR)",0.919855623,0.337512884,0.690367262,Sourdough,COG0480,GC_00000821,0.9688,1,32,29
"ABC-type proline/glycine betaine transport system, periplasmic component (ProX) (PDB:1R9L)",0.919855623,0.337512884,0.690367262,Sourdough,COG2113,"GC_00001485, GC_00004258, GC_00006353, GC_00007003, GC_00010370",0.9688,1,32,29
"DNA-binding transcriptional regulator, MerR family (SoxR) (PDB:2VZ4)",0.919855623,0.337512884,0.690367262,Sourdough,COG0789,"GC_00002347, GC_00002561, GC_00002691, GC_00003066, GC_00003425, GC_00003701, GC_00004978, GC_00005258, GC_00006263, GC_00006774, GC_00006920, GC_00007357, GC_00007358, GC_00007474, GC_00008009, GC_00008693, GC_00009655, GC_00010881, GC_00011107, GC_00011558",0.9688,1,32,29
DNA mismatch repair ATPase MutS (MutS) (PDB:1E3M),0.919855623,0.337512884,0.690367262,Sourdough,COG0249,GC_00000216,0.9688,1,32,29
"Uncharacterized conserved protein YabN, contains tetrapyrrole methylase and MazG-like pyrophosphatase domain (YabN)",0.919855623,0.337512884,0.690367262,Sourdough,COG3956,GC_00000212,0.9688,1,32,29
"Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase (GlmU) (PDB:3FWW)",0.919855623,0.337512884,0.690367262,Sourdough,COG1207,GC_00000865,0.9688,1,32,29
Fe-S cluster assembly ATPase SufC (SufC) (PDB:2D3W),0.919855623,0.337512884,0.690367262,Sourdough,COG0396,GC_00000418,0.9688,1,32,29
Lipopolysaccharide export system protein LptA (LptA) (PDB:2R19),0.919855623,0.337512884,0.690367262,Sourdough,COG1934,"GC_00001250, GC_00004695",0.9688,1,32,29
3-oxoacyl-[acyl-carrier-protein] synthase III (FabH) (PDB:1UB7),0.919855623,0.337512884,0.690367262,Sourdough,COG0332,GC_00000775,0.9688,1,32,29
DNA repair exonuclease SbcCD nuclease subunit (SbcD) (PDB:6S85),0.919855623,0.337512884,0.690367262,Sourdough,COG0420,"GC_00001383, GC_00004086, GC_00006989, GC_00011684",0.9688,1,32,29
FAD-dependent dehydrogenase (PDB:3NLC),0.919855623,0.337512884,0.690367262,Sourdough,COG2509,GC_00000899,0.9688,1,32,29
"Uncharacterized conserved protein, DUF2076 domain",0.919855623,0.337512884,0.690367262,Sourdough,COG3416,"GC_00001219, GC_00004507, GC_00011480",0.9688,1,32,29
"Thioredoxin/glutathione peroxidase BtuE, reduces lipid peroxides (BtuE) (PDB:2P5Q) (PUBMED:22931285)",0.919855623,0.337512884,0.690367262,Sourdough,COG0386,GC_00000787,0.9688,1,32,29
"Uncharacterized conserved protein, heparinase superfamily",0.919855623,0.337512884,0.690367262,Sourdough,COG5360,"GC_00001499, GC_00004159, GC_00006449",0.9688,1,32,29
Putative hemolysin (Hlx),0.919855623,0.337512884,0.690367262,Sourdough,COG3042,"GC_00001879, GC_00002564, GC_00002813, GC_00003393, GC_00003827, GC_00008550, GC_00008696, GC_00009980",0.9688,1,32,29
Phosphate-selective porin (OprP) (PDB:2O4V),0.919855623,0.337512884,0.690367262,Sourdough,COG3746,"GC_00000602, GC_00001856, GC_00002072, GC_00002077, GC_00002212, GC_00004928",0.9688,1,32,29
Outer membrane lipoprotein-sorting protein (LolA) (PDB:1IWL),0.919855623,0.337512884,0.690367262,Sourdough,COG2834,"GC_00001327, GC_00001517, GC_00003256, GC_00003666, GC_00003944, GC_00005642, GC_00006242, GC_00007675",0.9688,1,32,29
"Uncharacterized membrane-anchored protein YjiN, DUF445 family (YjiN)",0.919855623,0.337512884,0.690367262,Sourdough,COG2733,GC_00000583,0.9688,1,32,29
Lipid II flippase MurJ/MviN (peptidoglycan biosynthesis) (MurJ) (PDB:5T77) (PUBMED:25013077),0.919855623,0.337512884,0.690367262,Sourdough,COG0728,GC_00000873,0.9688,1,32,29
N-acetyl-gamma-glutamylphosphate reductase (ArgC) (PDB:3DR3),0.919855623,0.337512884,0.690367262,Sourdough,COG0002,GC_00000677,0.9688,1,32,29
"DNA utilization protein ComFC/GntX, contains phosphoribosyltransferase domain (ComFC) (PUBMED:28618091)",0.919855623,0.337512884,0.690367262,Sourdough,COG1040,"GC_00001727, GC_00004084, GC_00004608, GC_00006210",0.9688,1,32,29
"Predicted membrane flippase AglD2/YbhN, UPF0104 family (AglD2) (PUBMED:25583072)!!!Lysylphosphatidylglycerol synthetase MprF, lysyl-tRNA-binding C-terminal domain (MprF2) (PDB:5VRV) (PUBMED:14702396;30563904)",0.919855623,0.337512884,0.690367262,Sourdough,COG0392!!!COG2898,"GC_00001256, GC_00004467",0.9688,1,32,29
"Nucleotide monophosphate nucleosidase PpnN/YdgH, Lonely Guy (LOG) family (PpnN) (PDB:2PMB) (PUBMED:25728768;27941785;31023582;31420341)",0.919855623,0.337512884,0.690367262,Sourdough,COG1611,"GC_00000816, GC_00005329",0.9688,1,32,29
Uncharacterized conserved protein (PUBMED:19495416),0.919855623,0.337512884,0.690367262,Sourdough,COG4530,"GC_00001457, GC_00003711, GC_00006450",0.9688,1,32,29
"ABC-type anion transport system, duplicated permease component",0.919855623,0.337512884,0.690367262,Sourdough,COG4986,"GC_00001918, GC_00004550, GC_00004586, GC_00005225, GC_00010530, GC_00011224, GC_00011465",0.9688,1,32,29
RNA polymerase-binding transcription factor DksA (DksA) (PDB:1TJL),0.919855623,0.337512884,0.690367262,Sourdough,COG1734,"GC_00000756, GC_00006942",0.9688,1,32,29
"Putative transcriptional regulator, AlgH/UPF0301 family (AlgH) (PDB:2AJ2)",0.919855623,0.337512884,0.690367262,Sourdough,COG1678,GC_00000836,0.9688,1,32,29
Heme oxygenase (HemO) (PDB:1J77),0.876741173,0.349095802,0.704434028,Sourdough,COG3230,"GC_00002238, GC_00003211, GC_00003928, GC_00004346, GC_00006717, GC_00007856, GC_00008430, GC_00008823",0.6875,0.7931,32,29
2-methylcitrate dehydratase PrpD (PrpD) (PDB:1SZQ),0.876741173,0.349095802,0.704434028,Sourdough,COG2079,"GC_00001387, GC_00007058",0.6875,0.7931,32,29
Urocanate hydratase (HutU) (PDB:1UWK),0.876741173,0.349095802,0.704434028,Other,COG2987,"GC_00002664, GC_00008434",0.3125,0.2069,32,29
Uncaracterized surface protein containing fasciclin (FAS1) repeats (FAS1),0.872653025,0.350221885,0.704434028,Sourdough,COG2335,"GC_00002486, GC_00003998, GC_00004434, GC_00004799, GC_00005265, GC_00006226, GC_00008918",0.9062,0.9655,32,29
Imidazoleglycerol phosphate dehydratase HisB (HisB2) (PDB:1RHY),0.872653025,0.350221885,0.704434028,Sourdough,COG0131,GC_00000969,0.9062,0.9655,32,29
Site-specific recombinase XerC (XerC),0.872653025,0.350221885,0.704434028,Sourdough,COG4973,"GC_00000039, GC_00001056, GC_00001607, GC_00001715, GC_00002297, GC_00003128, GC_00004830, GC_00004872, GC_00004924, GC_00004958, GC_00005053, GC_00007116, GC_00007439, GC_00009046, GC_00009767, GC_00010319, GC_00010373",0.9062,0.9655,32,29
Predicted ester cyclase (PDB:3EHC),0.872653025,0.350221885,0.704434028,Other,COG5485,"GC_00009021, GC_00010542",0.0938,0.0345,32,29
Predicted esterase (YpfH),0.872653025,0.350221885,0.704434028,Other,COG0400,GC_00006862,0.0938,0.0345,32,29
"Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit (AtoD) (PDB:1K6D)",0.872653025,0.350221885,0.704434028,Other,COG1788,GC_00006174,0.0938,0.0345,32,29
"HD superfamily phosphodieaserase, includes HD domain of RNase Y (RnaY) (PDB:3DTO) (PUBMED:19779461)",0.872653025,0.350221885,0.704434028,Other,COG1418,GC_00006625,0.0938,0.0345,32,29
"Predicted aminoacyl-tRNA deacylase, YbaK-like aminoacyl-tRNA editing domain (ProX) (PDB:5VXB)",0.872653025,0.350221885,0.704434028,Other,COG3760,"GC_00010700, GC_00011526",0.0938,0.0345,32,29
"Acyl-CoA:acetate/3-ketoacid CoA transferase, beta subunit (AtoA) (PDB:5DBN)",0.872653025,0.350221885,0.704434028,Other,COG2057,GC_00006141,0.0938,0.0345,32,29
Predicted RNA methylase (PDB:6H2U),0.872653025,0.350221885,0.704434028,Other,COG2263,GC_00006830,0.0938,0.0345,32,29
CRISPR-Cas system type I-E effector complex small subunit Cse2 (Cse2gr11),0.872653025,0.350221885,0.704434028,Other,COG5949,"GC_00009801, GC_00011625",0.0938,0.0345,32,29
Predicted nucleotidyltransferase component of viral defense system (PDB:4O8S),0.872653025,0.350221885,0.704434028,Other,COG2253,"GC_00007754, GC_00011092",0.0938,0.0345,32,29
Short chain fatty acids transporter (AtoE),0.872653025,0.350221885,0.704434028,Other,COG2031,GC_00006916,0.0938,0.0345,32,29
"Uncharacterized conserved protein, DUF849 family (PDB:3C6C)",0.872653025,0.350221885,0.704434028,Other,COG3246,GC_00007041,0.0938,0.0345,32,29
"Reactive chlorine resistance protein RclC/YkgB, DUF417 family (YkgB) (PUBMED:24078635)",0.872653025,0.350221885,0.704434028,Other,COG3059,GC_00006927,0.0938,0.0345,32,29
Type IV pilus assembly protein PilN (PilN),0.872653025,0.350221885,0.704434028,Other,COG3166,GC_00007000,0.0938,0.0345,32,29
2-keto-4-pentenoate hydratase (MhpD) (PDB:1SV6),0.85561785,0.354967918,0.710245311,Other,COG3971,"GC_00006869, GC_00007984, GC_00009810",0.1875,0.1034,32,29
"Predicted transcriptional regulator, contains an XRE-type HTH domain (archaeal members contain CBS pair) (AF2118)",0.85561785,0.354967918,0.710245311,Other,COG3620,"GC_00005398, GC_00008519",0.1875,0.1034,32,29
Ketosteroid isomerase homolog YybH (YybH) (PDB:2GXF),0.85561785,0.354967918,0.710245311,Other,COG4319,"GC_00005820, GC_00007013, GC_00008661, GC_00011110",0.1875,0.1034,32,29
"NAD-dependent protein deacetylase, SIR2 family (SIR2) (PDB:1M2N)",0.85561785,0.354967918,0.710245311,Other,COG0846,GC_00004714,0.1875,0.1034,32,29
"Serine/threonine protein kinase HipA, toxin component of the HipAB toxin-antitoxin module (HipA) (PDB:2WIU)",0.85561785,0.354967918,0.710245311,Other,COG3550,"GC_00005407, GC_00007155",0.1875,0.1034,32,29
Anaerobic selenocysteine-containing dehydrogenase (BisC) (PDB:1EU1),0.85561785,0.354967918,0.710245311,Sourdough,COG0243,"GC_00001490, GC_00002867",0.8125,0.8966,32,29
"ssDNA abasic site-binding protein YedK/HMCES, SRAP family (SRAP) (PDB:1ZN6) (PUBMED:30554877;31504793)",0.840752169,0.359181739,0.71555737,Sourdough,COG2135,"GC_00001182, GC_00008981",0.4688,0.5862,32,29
"Adenine-specific DNA N6-methylase (YtxK) (PDB:2F8L)!!!Adenine-specific DNA methylase, N12 class",0.840752169,0.359181739,0.71555737,Other,COG0827!!!COG4646,GC_00000053,0.5312,0.4138,32,29
"Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase (HypB) (PDB:2HF8) (PUBMED:24338018;23899293)",0.840752169,0.359181739,0.71555737,Other,COG0378,"GC_00001981, GC_00006413",0.5312,0.4138,32,29
Cytosine/uracil/thiamine/allantoin permease (FUI1) (PDB:2JLN),0.840752169,0.359181739,0.71555737,Other,COG1953,"GC_00002174, GC_00005443, GC_00008549",0.5312,0.4138,32,29
Nucleoside permease NupC (NupC) (PDB:3TIJ),0.840752169,0.359181739,0.71555737,Other,COG1972,"GC_00002495, GC_00003113",0.5312,0.4138,32,29
Phospholipase C (PlcC),0.824710974,0.363806378,0.722887998,Other,COG3511,"GC_00001518, GC_00001870, GC_00002034, GC_00002068, GC_00002381, GC_00003101, GC_00005462, GC_00009880",0.9062,0.8276,32,29
tRNA G37 N-methylase Trm5 (Trm5) (PDB:2YX1),0.824710974,0.363806378,0.722887998,Sourdough,COG2520,"GC_00005775, GC_00006809",0.0938,0.1724,32,29
"Predicted transcriptional regulator, contains HTH domain",0.824710974,0.363806378,0.722887998,Sourdough,COG4190,"GC_00005087, GC_00009421",0.0938,0.1724,32,29
"Predicted metalloprotease, contains C-terminal PDZ domain (PDB:4FGM)",0.793829799,0.372944585,0.739125926,Other,COG3975,GC_00001849,0.5625,0.4483,32,29
N-acyl-homoserine lactone synthase LasI (autoinducer biosynthesis) (LasI) (PDB:1K4J),0.793829799,0.372944585,0.739125926,Other,COG3916,"GC_00002049, GC_00002734, GC_00002770",0.5625,0.4483,32,29
Restriction endonuclease S subunit (HsdS) (PDB:1YDX),0.793829799,0.372944585,0.739125926,Sourdough,COG0732,"GC_00001966, GC_00006170, GC_00006742, GC_00006906, GC_00007521, GC_00007919, GC_00007995, GC_00008062, GC_00008670, GC_00008812, GC_00008947, GC_00008979, GC_00009344, GC_00009383, GC_00009384, GC_00009633, GC_00009730, GC_00009913, GC_00010264, GC_00011298",0.4375,0.5517,32,29
Phage head maturation protease,0.766849872,0.381193337,0.753521713,Other,COG3740,"GC_00003229, GC_00006737, GC_00008595, GC_00010598",0.3438,0.2414,32,29
Histidine ammonia-lyase (HutH) (PDB:1B8F),0.766849872,0.381193337,0.753521713,Other,COG2986,"GC_00002818, GC_00007200, GC_00008380",0.3438,0.2414,32,29
Copper homeostasis protein CutC (CutC) (PDB:1TWD),0.766849872,0.381193337,0.753521713,Other,COG3142,"GC_00002689, GC_00007734",0.3438,0.2414,32,29
